State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
South Carolina,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,1,Yes,Yes,Yes,Yes,Strongerly disagree,4,5,3,5,3,3,3,3,3,1,2,31,Moderately High
Kansas,West North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,No credit cards,,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,1,,3,,1,20,Average
Virginia,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,,2 to 3,Yes,No,No,No,Neither agree nor disagree,5,1,1,1,3,1,1,,3,1,3,15,Moderately Low
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,1,1,2,18,Moderately Low
Colorado,Mountain,West,Female,18-24,Female 18-24,"Some college, no degree","At least $35,000 but less than $50,000",Yes,No,No,No,,1,No,No,No,No,Strongly agree,5,1,1,1,3,1,1,,3,3,2,16,Moderately Low
Maine,New England,Northeast,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",No,Yes,,No,,4 to 8,Yes,No,No,No,Slightly agree,6,1,1,1,1,3,1,,,1,3,12,Low
Maine,New England,Northeast,Male,25-34,Male 25-34,Did not complete high school,"Less than $15,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Slightly agree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Slightly agree,3,1,1,5,3,1,1,,1,,1,14,Moderately Low
Michigan,East North Central,Midwest,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
Maryland,South Atlantic,South,Male,18-24,Male 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Don't know,Yes,,Don't know,,13 to 20,No,Don't know,No,Prefer not to say,Moderately disagree,7,0,1,0,0,3,0,,,3,0,7,Low
Maine,New England,Northeast,Male,18-24,Male 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,,2 to 3,No,Yes,No,Yes,Strongly agree,7,5,1,5,3,3,1,,3,3,3,27,Moderately High
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,No,Yes,No,,No credit cards,,No,No,No,Slightly agree,4,1,1,1,3,1,1,,1,,1,10,Low
Iowa,West North Central,Midwest,Male,35-44,Male 35-44,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,3,3,3,3,3,34,High
Kansas,West North Central,Midwest,Male,18-24,Male 18-24,Did not complete high school,"Less than $15,000",Yes,Yes,No,No,,2 to 3,No,No,No,Yes,Strongerly disagree,1,1,1,5,3,3,1,,3,3,3,23,Average
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",No,No,,,,4 to 8,Prefer not to say,No,No,Prefer not to say,Moderately agree,6,1,1,0,1,1,,,,0,3,7,Low
Texas,West South Central,South,Male,18-24,Male 18-24,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,Yes,Yes,Slightly agree,5,1,3,5,3,3,1,,1,1,3,21,Average
Nevada,Mountain,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,,4 to 8,Don't know,Don't know,No,No,Strongly agree,7,0,1,1,3,3,1,,1,0,3,13,Moderately Low
Texas,West South Central,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,Don't know,No,Yes,Moderately agree,5,0,1,5,3,3,1,,3,,1,17,Moderately Low
Utah,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,1,No,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,1,,1,3,2,20,Average
Montana,Mountain,West,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,1,3,3,1,3,24,Average
Delaware,South Atlantic,South,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Prefer not to say,,2 to 3,Don't know,Prefer not to say,Prefer not to say,Yes,Strongly agree,7,0,0,5,3,3,0,,3,0,3,17,Moderately Low
Wisconsin,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,Yes,No,,No credit cards,,No,No,Yes,Moderately agree,4,1,1,5,3,1,1,,1,,1,14,Moderately Low
Illinois,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,4 to 8,Yes,No,No,Yes,Strongly agree,5,1,1,5,3,3,1,,3,1,3,21,Average
Colorado,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,1,Yes,No,No,No,Neither agree nor disagree,6,1,1,1,3,3,1,,1,1,2,14,Moderately Low
Iowa,West North Central,Midwest,Male,18-24,Male 18-24,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,,2 to 3,No,Yes,No,Yes,Moderately agree,6,5,1,5,3,3,1,,3,3,3,27,Moderately High
Nevada,Mountain,West,Female,25-34,Female 25-34,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,No,No,No,,1,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,1,1,,3,1,2,18,Moderately Low
Illinois,East North Central,Midwest,Female,65+,Female 65+,Associate's degree,"At least $75,000 but less than $100,000",Yes,No,No,No,,4 to 8,Yes,No,,Yes,Strongly agree,6,1,,5,3,1,1,,3,1,3,18,Moderately Low
Colorado,Mountain,West,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,No,,1,No,Yes,No,Yes,Slightly agree,3,5,1,5,3,3,1,,3,3,2,26,Average
Idaho,Mountain,West,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,Prefer not to say,,Don't know,,No,Prefer not to say,Prefer not to say,Moderately agree,4,1,0,0,3,3,0,,3,,0,10,Low
Hawaii,Pacific,West,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",No,Yes,,No,,No credit cards,,No,No,Yes,Slightly disagree,3,1,1,5,1,3,1,,,,1,13,Moderately Low
Georgia,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,No,No,Yes,1,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,1,1,3,3,1,2,21,Average
Nebraska,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,2 to 3,Yes,Yes,Yes,Yes,Slightly agree,5,5,3,5,3,3,1,3,1,1,3,28,Moderately High
Idaho,Mountain,West,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,5,1,3,5,3,3,1,3,3,1,3,26,Average
Delaware,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,Yes,No,No,Yes,Moderately disagree,5,1,1,5,3,3,1,,3,1,2,20,Average
Kentucky,East South Central,South,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,No,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,1,3,3,3,32,Moderately High
Massachusetts,New England,Northeast,Male,25-34,Male 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,Yes,Yes,1,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,3,3,3,1,2,25,Average
Maryland,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,No,2 to 3,Yes,No,Yes,No,Strongly agree,7,1,3,1,3,3,3,1,3,1,3,22,Average
Oklahoma,West South Central,South,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,No,Yes,No,,1,No,No,No,No,Strongly agree,5,1,1,1,3,1,1,,1,3,2,14,Moderately Low
New Jersey,Middle Atlantic,Northeast,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,3,1,3,28,Moderately High
Ohio,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Slightly agree,5,1,1,5,3,3,1,,3,,1,18,Moderately Low
Iowa,West North Central,Midwest,Male,18-24,Male 18-24,"Some college, no degree","Less than $15,000",Yes,Yes,No,Yes,,2 to 3,No,Yes,Yes,Yes,Moderately agree,6,5,3,5,3,3,3,,3,3,3,31,Moderately High
Georgia,South Atlantic,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,,1,No,Yes,Yes,Yes,Strongly agree,4,5,3,5,3,3,1,,3,3,2,28,Moderately High
Rhode Island,New England,Northeast,Male,45-54,Male 45-54,Associate's degree,"At least $35,000 but less than $50,000",Yes,Yes,Yes,Yes,,2 to 3,No,No,No,Yes,Strongly agree,6,1,1,5,3,3,3,,1,3,3,23,Average
Maryland,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",No,Yes,,No,,1,Yes,No,No,Yes,Neither agree nor disagree,6,1,1,5,1,3,1,,,1,2,15,Moderately Low
Arizona,Mountain,West,Female,18-24,Female 18-24,"Some college, no degree","Less than $15,000",No,No,,,,No credit cards,,No,No,Yes,Slightly agree,3,1,1,5,1,1,,,,,1,10,Low
Iowa,West North Central,Midwest,Male,25-34,Male 25-34,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,3,3,3,3,1,3,32,Moderately High
Kentucky,East South Central,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,No,No,Yes,Neither agree nor disagree,4,1,1,5,3,3,3,,3,,1,20,Average
Colorado,Mountain,West,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,No credit cards,,No,No,No,Strongly agree,5,1,1,1,3,3,1,,1,,1,12,Low
Arizona,Mountain,West,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Strongly agree,7,1,1,5,3,3,1,,1,,1,16,Moderately Low
Wisconsin,East North Central,Midwest,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,No,,Yes,Neither agree nor disagree,4,1,,5,3,3,3,,3,,1,19,Moderately Low
New Hampshire,New England,Northeast,Male,45-54,Male 45-54,Did not complete high school,"Less than $15,000",No,No,,,,No credit cards,,Yes,Yes,Yes,Neither agree nor disagree,3,5,3,5,1,1,,,,,1,16,Moderately Low
Nevada,Mountain,West,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,No,No,No,,No credit cards,,No,No,No,Moderately agree,5,1,1,1,3,1,1,,3,,1,12,Low
New Mexico,Mountain,West,Female,18-24,Female 18-24,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,No credit cards,,No,No,Yes,Slightly disagree,4,1,1,5,3,3,1,,1,,1,16,Moderately Low
Rhode Island,New England,Northeast,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,No,,No credit cards,,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,,3,,1,18,Moderately Low
Delaware,South Atlantic,South,Female,18-24,Female 18-24,Did not complete high school,"Less than $15,000",No,Yes,,No,,No credit cards,,No,No,No,Strongly agree,1,1,1,1,1,3,1,,,,1,9,Low
District of Columbia,South Atlantic,South,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,Yes,No,,2 to 3,No,No,,Yes,Slightly agree,5,1,,5,3,3,1,,1,3,3,20,Average
Kentucky,East South Central,South,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,Yes,2 to 3,Yes,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,1,1,3,30,Moderately High
South Carolina,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,Yes,,No credit cards,,Yes,No,No,Moderately agree,5,5,1,1,3,3,3,,3,,1,20,Average
Tennessee,East South Central,South,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,1,No,No,Yes,Yes,Slightly agree,4,1,3,5,3,3,1,3,3,3,2,27,Moderately High
Vermont,New England,Northeast,Female,65+,Female 65+,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,No,No,,1,Yes,No,,Yes,Neither agree nor disagree,Don't know,1,,5,3,1,1,,3,1,2,17,Moderately Low
Vermont,New England,Northeast,Male,45-54,Male 45-54,Associate's degree,"At least $75,000 but less than $100,000",Yes,No,No,No,Yes,4 to 8,No,No,Yes,Yes,Slightly agree,4,1,3,5,3,1,1,3,3,3,3,26,Average
Vermont,New England,Northeast,Female,45-54,Female 45-54,Associate's degree,"At least $75,000 but less than $100,000",Yes,No,No,No,,4 to 8,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,1,1,,3,1,3,19,Moderately Low
Colorado,Mountain,West,Male,25-34,Male 25-34,Associate's degree,"At least $50,000 but less than $75,000",Yes,Yes,No,Yes,No,2 to 3,Yes,Yes,Yes,Yes,Moderately agree,7,5,3,5,3,3,3,1,3,1,3,30,Moderately High
Maine,New England,Northeast,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,No,2 to 3,No,Don't know,Yes,Yes,Neither agree nor disagree,5,0,3,5,3,3,1,1,3,3,3,25,Average
Idaho,Mountain,West,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,No,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,,3,3,2,22,Average
Wisconsin,East North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,2 to 3,Yes,No,No,No,Moderately agree,4,1,1,1,3,3,1,,3,1,3,17,Moderately Low
Michigan,East North Central,Midwest,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,2 to 3,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,1,3,3,1,3,26,Average
Alaska,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,No,No,Yes,4 to 8,Yes,No,No,Yes,Moderately agree,4,1,1,5,3,3,1,3,3,1,3,24,Average
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,Yes,No,No,,No credit cards,,No,No,No,Don't know,3,1,1,1,3,3,1,,3,,1,14,Moderately Low
Oklahoma,West South Central,South,Female,35-44,Female 35-44,High school graduate - regular high school diploma,"Less than $15,000",No,No,,,,No credit cards,,No,Yes,No,Moderately agree,5,1,3,1,1,1,,,,,1,8,Low
West Virginia,South Atlantic,South,Male,25-34,Male 25-34,"Some college, no degree","Less than $15,000",Yes,No,No,No,,1,Yes,No,Prefer not to say,Yes,Strongly agree,7,1,0,5,3,1,1,,3,1,2,17,Moderately Low
Montana,Mountain,West,Male,35-44,Male 35-44,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,Slightly agree,3,1,3,5,3,3,1,3,3,1,2,25,Average
Kentucky,East South Central,South,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",No,Yes,,No,,No credit cards,,No,No,No,Slightly agree,Don't know,1,1,1,1,3,1,,,,1,9,Low
Hawaii,Pacific,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"Less than $15,000",No,No,,,,No credit cards,,No,,Yes,Neither agree nor disagree,5,1,,5,1,1,,,,,1,9,Low
Washington,Pacific,West,Male,25-34,Male 25-34,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,3,1,,1,1,3,19,Moderately Low
Virginia,South Atlantic,South,Male,35-44,Male 35-44,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,4 to 8,Yes,No,No,Yes,Neither agree nor disagree,5,1,1,5,3,3,3,3,3,1,3,26,Average
Nevada,Mountain,West,Female,25-34,Female 25-34,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,,9 to 12,Yes,No,No,No,Strongly agree,5,1,1,1,3,3,1,,1,1,1,13,Moderately Low
Maryland,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,Yes,2 to 3,No,No,Yes,Yes,Slightly agree,5,1,3,5,3,3,3,3,3,3,3,30,Moderately High
California,Pacific,West,Male,25-34,Male 25-34,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,Yes,2 to 3,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,1,3,3,1,3,28,Moderately High
Colorado,Mountain,West,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"Less than $15,000",No,Don't know,,No,,2 to 3,Prefer not to say,Don't know,No,Yes,Neither agree nor disagree,1,0,1,5,1,0,1,,,0,3,11,Low
South Carolina,South Atlantic,South,Female,55-64,Female 55-64,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,No,,4 to 8,Yes,Don't know,,Yes,Strongly agree,5,0,,5,3,3,1,,3,1,3,19,Moderately Low
Delaware,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $100,000 but less than $150,000",Yes,Yes,Yes,No,Yes,4 to 8,Yes,No,Yes,Yes,Moderately disagree,6,1,3,5,3,3,1,3,1,1,3,24,Average
Hawaii,Pacific,West,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Prefer not to say,Prefer not to say,,No,,No credit cards,,No,No,Yes,Moderately agree,6,1,1,5,0,0,1,,,,1,9,Low
West Virginia,South Atlantic,South,Male,25-34,Male 25-34,"Some college, no degree","At least $50,000 but less than $75,000",Yes,Yes,No,Yes,Yes,2 to 3,No,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,3,3,3,3,3,3,34,High
North Carolina,South Atlantic,South,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,Yes,No,,2 to 3,Yes,Yes,No,No,Neither agree nor disagree,7,5,1,1,3,1,1,,1,1,3,17,Moderately Low
New Hampshire,New England,Northeast,Male,55-64,Male 55-64,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,No,Yes,Yes,13 to 20,Yes,No,No,Yes,Slightly agree,4,1,1,5,3,3,3,3,3,1,0,23,Average
Oregon,Pacific,West,Female,45-54,Female 45-54,Associate's degree,"At least $150,000 but less than $200,000",Yes,Yes,No,Yes,,1,Yes,Yes,No,Yes,Slightly agree,6,5,1,5,3,3,3,,3,1,2,26,Average
Missouri,West North Central,Midwest,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,No,Yes,No,,1,No,No,No,Yes,Strongly agree,5,1,1,5,3,1,1,,1,3,2,18,Moderately Low
North Dakota,West North Central,Midwest,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,Yes,,No credit cards,,No,No,Yes,Moderately agree,5,1,1,5,3,3,3,,1,,1,18,Moderately Low
Oklahoma,West South Central,South,Male,65+,Male 65+,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Yes,,4 to 8,No,No,,Yes,Neither agree nor disagree,5,1,,5,3,3,3,,3,3,3,24,Average
Louisiana,West South Central,South,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Prefer not to say,No,Prefer not to say,Yes,No credit cards,,Yes,Yes,Yes,Strongly agree,7,5,3,5,3,0,0,3,3,,1,23,Average
Maine,New England,Northeast,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,Yes,Yes,Yes,Yes,4 to 8,No,No,No,Yes,Strongly agree,5,1,1,5,3,3,3,3,1,3,3,26,Average
Montana,Mountain,West,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,No,No,Yes,No credit cards,,No,Yes,Yes,Neither agree nor disagree,3,1,3,5,3,3,1,3,3,,1,23,Average
New Mexico,Mountain,West,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $75,000 but less than $100,000",Yes,No,No,No,,2 to 3,Yes,No,No,Yes,Slightly agree,3,1,1,5,3,1,1,,3,1,3,19,Moderately Low
Virginia,South Atlantic,South,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,Prefer not to say,Yes,1,Don't know,Yes,Yes,Yes,Moderately agree,5,5,3,5,3,3,0,3,3,0,2,27,Moderately High
Washington,Pacific,West,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,No,No,Neither agree nor disagree,1,1,1,1,3,3,1,,1,1,3,15,Moderately Low
Ohio,East North Central,Midwest,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"Less than $15,000",Yes,No,Yes,Yes,Yes,4 to 8,Yes,No,No,No,Strongly agree,7,1,1,1,3,1,3,3,1,1,3,18,Moderately Low
Delaware,South Atlantic,South,Female,55-64,Female 55-64,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,Yes,Prefer not to say,,No,Yes,Yes,Moderately agree,7,1,3,5,3,3,1,3,3,,0,22,Average
District of Columbia,South Atlantic,South,Female,55-64,Female 55-64,Did not complete high school,"Less than $15,000",Prefer not to say,Prefer not to say,,No,,2 to 3,No,No,,Yes,Strongly agree,7,1,,5,0,0,1,,,3,3,13,Moderately Low
Tennessee,East South Central,South,Male,25-34,Male 25-34,Associate's degree,"At least $75,000 but less than $100,000",Yes,Yes,No,Don't know,,2 to 3,Don't know,Yes,Prefer not to say,Yes,Neither agree nor disagree,5,5,0,5,3,3,0,,3,0,3,22,Average
Pennsylvania,Middle Atlantic,Northeast,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $150,000 but less than $200,000",Yes,Yes,No,No,No,More than 20,Yes,Yes,No,Yes,Strongly agree,6,5,1,5,3,3,1,1,3,1,0,23,Average
Idaho,Mountain,West,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $35,000 but less than $50,000",Yes,Yes,Yes,No,No,2 to 3,No,No,No,Yes,Strongerly disagree,4,1,1,5,3,3,1,1,1,3,3,22,Average
Iowa,West North Central,Midwest,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"At least $50,000 but less than $75,000",Yes,Yes,Yes,No,Yes,1,Yes,No,No,Yes,Moderately agree,5,1,1,5,3,3,1,3,1,1,2,21,Average
Maryland,South Atlantic,South,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,No,No,Yes,Yes,No credit cards,,No,No,Yes,Neither agree nor disagree,3,1,1,5,3,1,3,3,3,,1,21,Average
New Mexico,Mountain,West,Female,25-34,Female 25-34,Associate's degree,"At least $100,000 but less than $150,000",Yes,Yes,Yes,Yes,Yes,4 to 8,Yes,No,Yes,Yes,Strongly agree,6,1,3,5,3,3,3,3,1,1,3,26,Average
Nebraska,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,No,,No credit cards,,No,Don't know,No,Strongly agree,5,1,0,1,3,3,1,,1,,1,11,Low
Kansas,West North Central,Midwest,Male,25-34,Male 25-34,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,Don't know,,13 to 20,Yes,No,No,No,Neither agree nor disagree,3,1,1,1,3,3,0,,1,1,0,11,Low
Maryland,South Atlantic,South,Male,45-54,Male 45-54,"Some college, no degree","At least $100,000 but less than $150,000",No,No,,,,1,Don't know,Yes,Yes,Yes,Neither agree nor disagree,5,5,3,5,1,1,,,,0,2,17,Moderately Low
West Virginia,South Atlantic,South,Male,35-44,Male 35-44,Did not complete high school,"Less than $15,000",No,No,,,,No credit cards,,No,No,Yes,Strongly agree,5,1,1,5,1,1,,,,,1,10,Low
Texas,West South Central,South,Male,55-64,Male 55-64,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,No,No,No,4 to 8,Yes,No,No,Yes,Moderately agree,6,1,1,5,3,3,1,1,3,1,3,22,Average
Oklahoma,West South Central,South,Female,35-44,Female 35-44,"Some college, no degree","At least $25,000 but less than $35,000",Yes,Yes,Yes,Yes,Yes,2 to 3,No,No,No,No,Strongly agree,4,1,1,1,3,3,3,3,1,3,3,22,Average
Arizona,Mountain,West,Male,25-34,Male 25-34,Did not complete high school,"At least $15,000 but less than $25,000",No,No,,,,No credit cards,,No,No,No,Moderately disagree,5,1,1,1,1,1,,,,,1,6,Low
New Mexico,Mountain,West,Female,45-54,Female 45-54,Did not complete high school,"Less than $15,000",No,Yes,,No,,No credit cards,,No,No,No,Neither agree nor disagree,Prefer not to say,1,1,1,1,3,1,,,,1,9,Low
