State,Census Division,Census Region,Gender,Age Group,Gender&Age,Education,Annual Income,Checking Account,Savings Account,Overdraw,Other Investments,Other Retirement Accounts,Number of Credit Cards,Credit Card Balance Interest,Emergency Funds,Retirement Planning,Health Insurance,Financial Confidence,Financial Knowledge,Emergency Funds_score,Retirement Planning_score,Health Insurance_score,Checking Account_score,Savings Account_score,Other Investments_score,Other Retirement Accounts_score,Overdraw_score,Credit Card Balance Interest_score,Number of Credit Cards_score,Total_Score,FinLit_Level
Missouri,West North Central,Midwest,Male,45-54,Male 45-54,High school graduate - regular high school diploma,"At least $25,000 but less than $35,000",Yes,Yes,Yes,Yes,,More than 20,Yes,No,No,Yes,Strongly agree,6,1,1,5,3,3,3,,1,1,0,18,Moderately Low
Illinois,East North Central,Midwest,Female,25-34,Female 25-34,"Some college, no degree","At least $35,000 but less than $50,000",Yes,Yes,No,No,Yes,1,Yes,Don't know,Yes,Yes,Slightly agree,7,0,3,5,3,3,1,3,3,1,2,24,Average
Ohio,East North Central,Midwest,Female,55-64,Female 55-64,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,Yes,1,No,No,Don't know,Yes,Strongly agree,5,1,0,5,3,3,3,3,3,3,2,26,Average
New Jersey,Middle Atlantic,Northeast,Male,18-24,Male 18-24,High school graduate - regular high school diploma,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,1,No,No,No,Yes,Moderately agree,Don't know,1,1,5,3,3,3,,3,3,2,24,Average
Ohio,East North Central,Midwest,Female,55-64,Female 55-64,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,No,No,No,,Prefer not to say,,No,,Yes,Strongly agree,6,1,,5,3,1,1,,3,,0,14,Moderately Low
Missouri,West North Central,Midwest,Female,45-54,Female 45-54,High school graduate - regular high school diploma,"At least $50,000 but less than $75,000",Yes,No,Yes,No,,2 to 3,Yes,No,No,No,Prefer not to say,7,1,1,1,3,1,1,,1,1,3,13,Moderately Low
Texas,West South Central,South,Male,65+,Male 65+,Associate's degree,"At least $25,000 but less than $35,000",Yes,Yes,No,Yes,,2 to 3,No,No,,Yes,Slightly disagree,2,1,,5,3,3,3,,3,3,3,24,Average
Michigan,East North Central,Midwest,Female,45-54,Female 45-54,High school graduate - GED or alternative credential,"At least $25,000 but less than $35,000",Yes,No,Yes,No,,4 to 8,Yes,No,Yes,Yes,Strongly agree,4,1,3,5,3,1,1,,1,1,3,19,Moderately Low
West Virginia,South Atlantic,South,Male,35-44,Male 35-44,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,Yes,No,,2 to 3,Yes,No,No,Yes,Strongly agree,Prefer not to say,1,1,5,3,3,1,,1,1,3,19,Moderately Low
West Virginia,South Atlantic,South,Female,18-24,Female 18-24,High school graduate - GED or alternative credential,"Less than $15,000",Yes,Yes,No,No,,1,Yes,Don't know,No,No,Slightly agree,5,0,1,1,3,3,1,,3,1,2,15,Moderately Low
Illinois,East North Central,Midwest,Female,55-64,Female 55-64,"Some college, no degree","At least $75,000 but less than $100,000",Yes,Yes,No,Prefer not to say,No,4 to 8,No,Yes,Yes,Yes,Strongly agree,4,5,3,5,3,3,0,1,3,3,3,29,Moderately High
Minnesota,West North Central,Midwest,Male,55-64,Male 55-64,High school graduate - GED or alternative credential,"At least $15,000 but less than $25,000",Yes,Yes,No,Yes,,No credit cards,,Yes,No,Yes,Moderately agree,4,5,1,5,3,3,3,,3,,1,24,Average
Maryland,South Atlantic,South,Female,35-44,Female 35-44,"Some college, no degree","At least $100,000 but less than $150,000",Yes,Yes,No,No,,2 to 3,No,No,No,Yes,Strongly agree,6,1,1,5,3,3,1,,3,3,3,23,Average
California,Pacific,West,Female,45-54,Female 45-54,"Some college, no degree","At least $50,000 but less than $75,000",Yes,No,No,No,No,4 to 8,Yes,Yes,Yes,Yes,Strongly agree,6,5,3,5,3,1,1,1,3,1,3,26,Average
Michigan,East North Central,Midwest,Male,45-54,Male 45-54,High school graduate - GED or alternative credential,"At least $35,000 but less than $50,000",Yes,Yes,No,Yes,No,4 to 8,Yes,No,Yes,Yes,Moderately agree,5,1,3,5,3,3,3,1,3,1,3,26,Average
